title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
傾斜觀看 : 在大眾文化中遇見拉岡,紀傑克, 桂冠,蔡淑惠, 2008-09, 328, 350 TWD,,, 9789577305831,,,https://book.douban.com/subject/3250106/
大分裂之後 : 現代主義、大眾文化與後現代主義,安德里亞斯‧胡伊森(Andreas Huyssen), 麥田,"王曉玨,宋偉杰", 20100422, 416 頁, NT480,麥田人文,https://book.douban.com/series/36539, 9789861736303,8.3,14,https://book.douban.com/subject/4774435/
Colonialism and Postcolonial Development : Spanish America in Comparative Perspective,James Mahoney, Cambridge University Press,, 2010-2-15, 424, USD 27.99,Cambridge Studies in Comparative Politics,https://book.douban.com/series/9459, 9780521133289,8.8,16,https://book.douban.com/subject/5481736/
政治中的理性主义 ,迈克尔·欧克肖特 (OakeshottMichael), 上海译文出版社,张汝伦, 2003-7, 207, 15.0,二十世纪西方哲学译丛,https://book.douban.com/series/4571, 9787532731084,7.7,26,https://book.douban.com/subject/1248448/
責任與判斷 ,漢娜．鄂蘭(Hannah Arendt), 左岸文化,蔡佩君, 2008, 352, NT360,,, 9789866723063,9.0,37,https://book.douban.com/subject/3026029/
The Coming Community ,Giorgio Agamben, University of Minnesota Press,Michael Hardt, 1993-2-26, 120, USD 19.50,,, 9780816622351,9.5,34,https://book.douban.com/subject/1903412/
歷史之名 ,賈克．洪席耶(Jacques Rancière), 麥田,"魏德驥,楊淳嫻", 2014-10-30, 288, NT$350,批判理論翻譯叢書,https://book.douban.com/series/8166, 9789861738109,,,https://book.douban.com/subject/25964072/
世界史的結構 ,[日本]            柄谷行人, 心靈工坊文化事業股份有限公司,林暉鈞, 2013-1, 576, NT750,PsychoHistory,https://book.douban.com/series/23148, 9789866112676,9.0,17,https://book.douban.com/subject/21337397/
迪尔凯姆社会学 : 文化研究,杰弗里·亚历山大, 辽宁教育出版社,"戴聪腾,陈维振", 2001-1, 333, 22.00元,剑桥集粹,https://book.douban.com/series/10508, 9787538260274,,,https://book.douban.com/subject/1359121/
权力主义人格 全三卷 ,[德国]            西奥多·阿多诺, 浙江教育出版社,李维, 2002-1, 1264, 55.00元,20世纪心理学通览,https://book.douban.com/series/785, 9787533843670,8.2,20,https://book.douban.com/subject/1544379/
导读萨义德（原书第2版） : 原书第2版,[澳]比尔·阿希克洛夫特                   /                        [澳]帕尔·阿卢瓦利亚, 拜德雅 | 重庆大学出版社,王立秋, 2020-12, 264, 45.00元,思想家和思想导读丛书,https://book.douban.com/series/24603, 9787568920353,9.9,14,https://book.douban.com/subject/35154576/
科学与现代世界 ,[英]A.N.怀特海, 上海人民出版社,傅佩荣, 2019-6-17, 217, 45,,, 9787208158511,,,https://book.douban.com/subject/33446812/
音乐社会学导论 ,[德]特奥多尔·W.阿多诺(Theodor W. Adorno), 中央编译出版社,"梁艳萍,马卫星,曹俊峰", 2018-11, 300, 75.00元,新世界新思想译丛,https://book.douban.com/series/22940, 9787511736093,7.1,45,https://book.douban.com/subject/30306728/
一触即发：现代恐怖主义的起源 ,[美] 约翰•梅里曼（John Merriman）, 华东师范大学出版社,范譞, 2020-6, 259, 68.00,“剑与犁”译丛,https://book.douban.com/series/38264, 9787576007060,8.5,19,https://book.douban.com/subject/35243716/
社会理论的定位(第2版) : 社会学译丛•理论前沿系列,提姆•梅伊                   /                詹森•L•鲍威尔, 人民大学出版社,, 2013-5, 403, 65.00元,社会学译丛·理论前沿系列,https://book.douban.com/series/21050, 9787300173306,8.2,17,https://book.douban.com/subject/24746839/
学术写作指南 ,[美] 斯蒂芬·贝利, 中国人民大学出版社,唐奇, 2020-1, 420, 78.00元,,, 9787300274898,,,https://book.douban.com/subject/34854031/
解释社会行为 : 社会科学的机制视角,[美] 乔恩·埃尔斯特 (Jon Elster), 重庆大学出版社,"刘骥,何淑静,熊彩", 2019-1, 441, 69.00元,万卷方法,https://book.douban.com/series/2483, 9787568910835,7.1,23,https://book.douban.com/subject/30225768/
社会世界的意义建构 : 理解的社会学引论,[奥] 阿尔弗雷德·许茨, 北京师范大学出版社,霍桂桓, 2017-8-1, 423,,许茨作品系列,https://book.douban.com/series/39343, 9787303197460,8.6,16,https://book.douban.com/subject/27117446/
布迪厄：关键概念（原书第2版） ,[英] 迈克尔·格伦菲尔, 拜德雅 | 重庆大学出版社,林云柯, 2018-8, 408, 59.00元,思想家和思想导读丛书,https://book.douban.com/series/24603, 9787568912044,8.5,145,https://book.douban.com/subject/30252203/
继承人 : 大学生与文化,（法）布尔迪约等, 商务印书馆,邢克超, 2002-11, 150, 11.00元,当代法国思想文化译丛,https://book.douban.com/series/170, 9787100034883,8.7,653,https://book.douban.com/subject/1015941/
反思社会学导引 ,[法] 布尔迪厄                   /                [美] 华康德, 商务印书馆,"李猛,李康", 2015-12, 496, 39.00,社会学名著译丛,https://book.douban.com/series/8686, 9787100116794,9.5,273,https://book.douban.com/subject/26647780/
自我分析纲要 ,[法] 皮埃尔·布尔迪厄, 中国人民大学出版社,刘晖, 2017-1-15,,,布尔迪厄作品,https://book.douban.com/series/36450, 9787300236490,8.3,280,https://book.douban.com/subject/26943380/
社会的构成 : 结构化理论纲要,[英国]            安东尼·吉登斯, 中国人民大学出版社,"李康,李猛", 2016-5-1, 464, CNY 78.00,当代世界学术名著·政治学系列,https://book.douban.com/series/12704, 9787300227504,9.2,208,https://book.douban.com/subject/26800172/
区分 : 判断力的社会批判,[法] 皮埃尔·布尔迪厄, 商务印书馆,刘晖, 2015-10, 943, 80.00,当代法国思想文化译丛,https://book.douban.com/series/170, 9787100111591,7.8,619,https://book.douban.com/subject/26354330/
象征的贫困 : 1.超工业时代,[法] 贝尔纳·斯蒂格勒, 南京大学出版社,"张新木,庞茂森", 2021-1, 154, 45元,当代激进思想家译丛,https://book.douban.com/series/21948, 9787305234736,8.7,13,https://book.douban.com/subject/35123059/
观物如实：一种知觉理论 ,[美] 约翰·R.塞尔, 中国人民大学出版社,, 2021-3,, 58.00元,,, 9787300289632,,,https://book.douban.com/subject/35384002/
无尽的焦虑之梦 : 梦的记录（1941—1967）附《一桩两人共谋的凶杀案》（1985）,[法] 路易·阿尔都塞, 南京大学出版社,"曹天羽,吴子枫（审订）", 2021-3-7, 228, 49,当代学术棱镜译丛,https://book.douban.com/series/187, 9787305237027,8.1,34,https://book.douban.com/subject/35224348/
迈向思辨实在论 : 论文与讲座,[美]格拉汉姆·哈曼, 拜德雅 | 长江文艺出版社,花超荣, 2020-10, 284, 52.00元,拜德雅·人文丛书,https://book.douban.com/series/30521, 9787570217243,8.9,34,https://book.douban.com/subject/35182606/
